,ActivityID,HeartRate,Hand_Temperature,Hand_3Dacceleration16_X,Hand_3Dacceleration16_Y,Hand_3Dacceleration16_Z,Hand_3Dgyroscop_X,Hand_3Dgyroscop_Y,Hand_3Dgyroscop_Z,Hand_3Dmagnetometer_X,Hand_3Dmagnetometer_Y,Hand_3Dmagnetometer_Z,Chest_Temperature,Chest_3Dacceleration16_X,Chest_3Dacceleration16_Y,Chest_3Dacceleration16_Z,Chest_3Dgyroscop_X,Chest_3Dgyroscop_Y,Chest_3Dgyroscop_Z,Chest_3Dmagnetometer_X,Chest_3Dmagnetometer_Y,Chest_3Dmagnetometer_Z,Ankle_Temperature,Ankle_3Dacceleration16_X,Ankle_3Dacceleration16_Y,Ankle_3Dacceleration16_Z,Ankle_3Dgyroscop_X,Ankle_3Dgyroscop_Y,Ankle_3Dgyroscop_Z,Ankle_3Dmagnetometer_X,Ankle_3Dmagnetometer_Y,Ankle_3Dmagnetometer_Z
7203,10,100,30.125,-8.830919999999997,2.91637,2.93848,-0.0277805,0.0444663,0.0105021,44.0347,0.7655649999999999,-3.60158,31.375,0.493174,9.84293,-0.793901,0.0275476,-0.0209513,-0.0275837,3.653480000000001,-31.3194,19.9352,30,9.48359,0.150749,-2.65972,0.051694900000000016,-0.048041900000000005,0.0111429,-19.5674,-15.0704,24.3337
7214,10,100,30.125,-8.8344,2.9912400000000003,2.82271,0.035017800000000016,0.00311946,0.0175079,43.7811,0.655541,-2.813,31.375,0.5008819999999999,9.73178,-0.522354,-0.0208066,0.00373237,-0.0355448,4.05442,-31.9787,19.6597,30,9.56154,0.111343,-2.54291,-0.0118459,-0.0361255,0.00163457,-20.0873,-14.9174,23.7644
7225,10,100,30.125,-8.952580000000003,3.06666,2.6667400000000003,0.024705,-0.000950882,-0.00197696,43.7888,0.406578,-3.33644,31.375,0.460579,9.76904,-0.600647,-0.0541269,-0.0199688,-0.00704927,4.1793,-31.7254,19.6592,30,9.4791,-0.0760985,-2.77413,0.06544119999999999,0.00908495,0.00462517,-20.2111,-14.6512,24.6146
7236,10,100,30.125,-8.95097,2.91557,2.74425,0.0119834,-0.00312915,0.0479224,43.9222,-0.34503,-3.20092,31.375,0.302103,9.65526,-0.7967529999999999,-0.016898,0.00994587,-0.0206116,4.18826,-31.8542,19.237,30,9.51982,-0.0772993,-2.65793,0.0280936,-0.0116931,-0.010635,-20.0861,-14.5287,24.6149
7247,10,100,30.125,-8.91719,2.72491,2.66842,0.00416253,-0.00899433,-0.0075185,43.2976,-0.187504,-3.06938,31.375,0.345837,9.61878,-0.602237,0.015812700000000002,0.0274625,0.00425947,3.93652,-32.2318,19.2374,30,9.59707,-0.0404474,-2.58019,-0.00298318,-0.0258326,0.00569311,-19.9463,-15.1798,24.4744
7257,10,100,30.125,-8.95071,2.95351,2.74412,-0.00208569,-0.0071322,-0.0267587,43.7944,0.157911,-3.59741,31.375,0.339871,9.95611,-0.835767,-0.00835802,0.0172655,0.017261099999999998,3.80304,-32.2272,19.5184,30,9.59307,0.0367747,-2.73507,0.057338,-0.0572735,0.00319379,-20.0838,-14.7871,24.3316
7268,10,100,30.125,-8.94402,2.95519,2.93665,-0.0106289,-0.0121243,-0.0504282,43.5329,0.792709,-3.0758,31.375,0.386438,9.69449,-0.524306,-0.00677474,-0.00892327,-0.0192123,3.53842,-32.2179,19.9395,30,9.62979,0.112796,-2.77375,-0.00919624,-0.0329967,-0.000692334,-20.2111,-14.6512,24.6146
7279,10,100,30.125,-8.649189999999999,3.02672,2.7099,-0.0432256,0.00661234,-0.0176608,44.2751,0.8773610000000001,-2.81535,31.375,0.539096,9.76932,-0.521783,-0.00493901,-0.0261137,-0.0201903,4.05478,-31.8496,19.518,30,9.43958,-0.265383,-2.81195,0.0232466,-0.0555125,-0.0205116,-19.5709,-14.6827,24.7588
7290,10,100,30.125,-8.82798,3.14434,2.97624,-0.0692567,-0.026571,-0.0215788,43.549,-0.07718539999999999,-3.59548,31.375,0.466398,9.80799,-0.407063,-0.0116926,0.0349464,-0.00260264,3.93149,-32.3611,19.6611,30,9.63019,0.188733,-2.77422,0.0721313,-0.0465607,-0.00848288,-19.8248,-14.6696,24.8997
7301,10,100,30.125,-8.90891,3.14358,2.82108,0.0111208,-0.0133572,-0.0184312,44.2845,0.752141,-3.73323,31.375,0.388925,9.77031,-0.447065,-0.0926209,0.019020500000000003,0.00495294,4.06337,-32.1076,19.2375,30,9.55544,-0.000956789,-2.73522,-0.0336223,0.00274963,-0.00672329,-19.6998,-14.5471,24.9
7312,10,100,30.125,-8.72959,3.10184,2.5545,0.00742486,0.0354603,0.115121,44.5361,0.3666,-3.4689400000000004,31.375,0.428383,9.84576,-0.407875,-0.0449028,-0.0177759,0.0396413,3.673,-31.8352,19.2333,30,9.55274,0.113913,-2.85173,0.0606464,-0.033111,-0.00523602,-20.0748,-14.9147,24.8991
7323,10,100,30.125,-8.80035,3.02788,2.70764,-0.016681900000000003,0.0527126,0.0292964,43.6724,-0.33160500000000004,-3.06926,31.375,0.5068,9.80839,-0.328891,-0.020358,0.00779054,0.0354671,3.55817,-31.8301,18.3864,30,9.51483,-0.18992,-2.81164,-0.000528354,-0.00164861,-0.00352649,-19.9373,-15.3073,25.0419
7334,10,100,30.125,-8.994110000000003,2.91452,2.58965,-0.0419648,0.00590971,-0.073652,43.2926,0.185055,-3.07163,31.375,0.432758,9.77149,-0.25267,-0.0234526,0.0154808,0.0220498,3.67386,-32.3516,19.6592,30,9.48099,0.07545460000000001,-2.73646,0.0138939,-0.00592962,0.0224667,-19.3096,-15.3416,24.0513
7345,10,100,30.125,-8.91319,3.1046400000000003,2.70569,-0.00355838,-0.00676724,-0.07272410000000001,43.664,0.289326,-3.07301,31.375,0.4294270000000001,9.80836,-0.369013,0.0309392,-0.033961300000000014,0.0027669,3.0398400000000003,-32.0693,18.8072,30,9.6279,-0.0387571,-2.81142,0.0137057,-0.0644625,0.019554,-19.6819,-15.3201,25.0428
7356,10,100,30.125,-8.841619999999997,3.10305,2.5913,0.00688704,-0.0357094,-0.0375912,43.9221,-0.0971005,-3.5961199999999995,31.375,0.618011,9.92021,-0.443402,-0.0104291,-0.0268055,-0.0260836,4.0673,-32.3656,19.239,30,9.40264,0.0389239,-2.8528,0.0531668,-0.00183538,0.00606593,-19.5654,-14.9405,24.7591
7367,10,100,30.125,-8.689119999999999,3.10222,2.63208,0.0238847,0.0105196,-0.00997336,43.5306,1.04093,-3.20853,31.375,0.433603,9.65879,-0.213568,-0.022599900000000003,-0.0140126,0.021186700000000003,3.81433,-32.356,18.9552,30,9.67311,0.18689,-2.58082,0.0399786,-0.0143845,0.00433806,-19.6986,-14.6763,24.7583
7378,10,100,30.125,-9.02629,3.14345,2.70386,0.0245426,0.0626839,0.000910761,43.6651,0.28917800000000005,-3.20424,31.4375,0.579498,9.76972,-0.443611,-0.047655800000000005,0.0457264,0.023705,3.55547,-31.9593,18.6691,30,9.55465,-0.152831,-2.73429,0.00930061,0.00828507,0.0430691,-20.0888,-14.3998,24.6148
7389,10,100,30.125,-8.91399,3.18018,2.66693,0.0031791,0.0400279,0.0416803,43.7855,0.6549510000000001,-3.33794,31.4375,0.471917,9.73398,-0.213118,-0.0196542,0.00729899,0.0216671,3.17381,-32.7194,19.0938,30,9.58416,0.229509,-3.08366,0.0404658,0.0328409,-0.0566614,-20.2025,-14.9083,24.8986
7400,10,100,30.125,-8.75695,3.06687,2.8621,-0.0432976,-0.0111716,0.0344068,43.5407,0.295816,-3.20403,31.4375,0.389224,9.88327,-0.447427,-0.00622773,0.0432084,-0.00479031,3.29441,-32.3371,19.2335,30,9.55615,-0.0772152,-2.69615,-0.0241087,-0.0173388,-0.0281556,-19.949,-15.0509,24.4742
7411,10,100,30.125,-8.82985,3.06813,2.93798,0.0278069,0.00880699,0.0760891,44.1804,-0.731456,-3.72403,31.4375,0.51043,9.88447,-0.212909,-0.0709392,-0.0002744,0.025349,2.90869,-32.0647,18.9472,30,9.44416,0.189597,-2.73754,0.0298518,0.0159382,-0.00485708,-20.4701,-14.7687,24.0465
7422,10,100,30.125,-8.759360000000001,3.2935,2.7458400000000003,0.062686,-0.0443233,0.038063199999999985,44.0527,-0.724375,-3.33011,31.4375,0.8199219999999999,9.88455,-0.0524189,-0.0778296,-0.051374,0.105253,2.78577,-32.447,18.9486,30,9.55364,0.07562289999999999,-2.8128900000000003,-0.0139848,0.0616067,-0.05653490000000001,-20.2201,-14.5237,24.0471
7432,10,100,30.125,-8.76631,3.25389,2.55343,0.07519429999999999,-0.0129437,0.0158428,43.5419,0.0477391,-2.94007,31.4375,0.930536,9.77046,-0.166207,-0.116098,-0.0114299,0.111579,2.41024,-32.6906,18.5243,30,9.48088,0.265619,-2.77623,0.0443469,0.019853,-0.0433814,-20.2088,-14.9097,24.3313
7443,10,100,30.125,-8.9598,3.17846,2.43533,0.0488403,0.0138229,-0.08725139999999999,43.427,-0.566701,-3.06734,31.4375,1.08468,9.54458,-0.0852382,-0.0769326,0.0122978,0.0824803,2.17175,-33.3261,17.9622,30,9.52431,0.149549,-2.54353,-0.0395715,0.00660107,-0.0437265,-19.4213,-16.238,23.7683
7454,10,100,30.125,-9.07183,3.17967,2.47213,0.0712722,0.07047389999999999,-0.0491989,43.7996,-0.710507,-2.80476,31.4375,0.903461,9.62256,0.220993,-0.0477607,0.0511592,0.0366304,1.65992,-32.9197,17.3924,30,9.48288,0.227008,-2.69879,-0.00574125,-0.0068888000000000005,0.0192551,-20.3209,-15.4178,24.757
7465,10,100,30.125,-9.014,3.75249,2.93291,0.00508466,0.130107,-0.0280839,43.4092,0.427379,-2.5484,31.4375,0.898985,9.65917,0.06590889999999999,0.0593662,-0.00810947,-0.0131134,1.89877,-32.1552,17.8127,30,9.59586,0.150038,-2.65856,-0.0138928,0.00330846,0.032720799999999994,-20.0744,-15.303,24.1904
7476,10,100,30.125,-10.0306,9.92472,0.664597,4.0464699999999985,0.186725,2.0846,43.3252,-2.54645,-2.5302,31.4375,0.516149,9.88577,-0.0192052,0.14558,-0.12946,-0.0743605,2.03864,-33.1923,18.1016,30,9.60836,0.222442,-2.2344,-0.0149189,-0.00159413,0.0271579,-19.9619,-14.6653,24.0482
7487,10,100,30.125,-6.6664,10.8641,-1.63591,-0.135642,2.16125,4.01393,38.8406,-14.2167,2.93017,31.4375,0.999257,9.95667,-0.4366140000000001,-0.09134860000000003,-0.16958900000000002,0.00664356,2.79313,-32.3177,18.3839,30,9.55914,0.07401669999999999,-2.61988,0.06819800000000001,-0.0373631,0.00183362,-19.9654,-14.7956,23.481
7498,10,100,30.125,-4.28671,4.8799800000000015,-2.58075,0.0830995,2.32634,2.74783,27.5209,-24.9026,6.8236300000000005,31.4375,1.05458,9.54651,0.185257,-0.0457381,-0.110992,-0.0748395,2.94145,-32.8383,17.6828,30,9.48618,0.226044,-2.58298,0.0559434,-0.0243281,0.0373718,-20.3151,-16.0639,24.0486
7509,10,100,30.125,-4.19511,6.76847,0.762655,-1.7782099999999998,2.18313,0.679201,19.4957,-29.5613,8.18046,31.4375,1.35447,9.80784,-0.00376436,-0.0413069,-0.0109275,-0.0414899,3.06794,-32.8431,17.8247,30,9.59366,0.15068,-2.73577,0.0254572,-0.016221799999999998,0.0113723,-19.819000000000006,-15.3157,24.1913
7520,10,100,30.125,-3.53499,4.72284,1.70314,-0.8596809999999999,0.120569,-0.572797,17.9356,-31.4659,4.65191,31.4375,0.673529,9.58536,0.178227,0.101013,0.119284,-0.0918405,3.05309,-32.3272,18.2447,30,9.59186,0.22726,-2.81344,0.0986878,-0.0143446,-0.0215024,-19.824,-14.9284,24.4745
7531,10,100,30.125,-4.50296,7.06262,-0.55152,3.32076,-1.75997,-1.40949,22.3379,-28.224,7.90413,31.4375,0.864999,9.92364,0.180596,0.0708318,0.203823,-0.06378740000000001,2.42422,-32.6903,17.6784,30,9.52262,0.035964,-2.58143,0.0460503,-0.00842561,-0.0239487,-19.8178,-15.445,24.0496
7542,10,100,30.125,-5.13842,9.34046,-5.1872099999999985,4.9196800000000005,-2.4644,-0.661817,29.8199,-15.837,14.3755,31.4375,0.674426,9.92424,0.177142,0.016753599999999997,0.1295,-0.0460163,2.80541,-33.7374,18.956,30,9.48508,0.226365,-2.62158,0.0321293,0.0272348,0.06615130000000001,-19.9588,-14.6646,24.3319
7553,10,100,30.125,-5.88499,7.180110000000001,-5.57598,-0.318369,-2.18843,-0.556707,35.9452,-7.47929,11.294,31.4375,0.780863,9.95972,-0.0920918,-0.0239173,-0.077963,-0.0827787,2.28682,-32.4276,17.9579,30,9.59637,0.035811,-2.61926,-0.0604871,0.0100318,0.048416,-20.0787,-15.1745,24.0484
7564,10,100,30.125,-7.372039999999998,6.56388,-3.6718,-2.0081900000000004,-1.63714,-1.34059,39.4793,-7.300289999999999,4.46172,31.4375,0.627707,9.69662,-0.0940113,-0.0208276,-0.14465,-0.0361875,3.95617,-33.5222,19.2448,30,9.52352,-0.00232583,-2.54259,-0.0423148,-0.0062397,0.0325564,-19.9537,-15.052,24.0487
7575,10,100,30.125,-8.127460000000001,6.9302,-1.56755,-2.07924,-0.816712,-1.26406,42.3363,-3.98166,-0.813476,31.4375,0.587158,10.0725,-0.21213,0.052833000000000005,-0.105439,-0.0236384,3.41034,-31.9549,19.6551,30,9.56555,0.0341208,-2.38803,-0.0113973,0.000131165,0.0468769,-20.0904,-14.4002,24.4729
7586,10,100,30.125,-8.3136,5.361269999999998,1.01361,-4.18687,0.0206883,-1.05984,43.3223,-1.92626,-3.19011,31.4375,0.664977,9.80921,-0.132423,-0.0240663,-0.140798,0.00855641,3.81127,-32.6143,19.3797,30,9.59947,-0.00312126,-2.50322,-0.00722339,-0.00318749,0.053946400000000005,-20.0838,-15.3051,23.3394
7600,10,100,30.125,-9.13242,2.27508,3.09007,-0.361193,0.0626472,-0.446159,43.403,0.800086,-2.41942,31.4375,0.6151260000000001,9.69377,-0.5201600000000001,0.014253899999999996,-0.193767,0.032926300000000006,3.97052,-33.3928,18.2571,30,9.52282,0.0739326,-2.58166,-0.00640279,-0.0257645,0.000958319,-19.9681,-14.6667,23.4809
7607,10,100,30.125,-9.12495,3.3373800000000005,3.0866,0.809917,-0.137308,-0.08051900000000001,43.4008,0.800381,-2.15695,31.4375,0.61458,9.91943,-0.559625,0.00769787,-0.213113,0.0530043,4.08645,-33.0106,18.6788,30,9.70986,-0.155386,-2.53973,-0.0145387,0.0394862,-0.0031776,-20.0908,-15.0476,23.1972
7618,10,100,30.125,-8.752939999999999,3.2572400000000004,2.9385,0.586426,-0.242602,0.0936521,43.776,1.27603,-3.21045,31.4375,1.04165,9.84463,-0.280598,-0.0571675,-0.149207,0.0491255,4.0684,-31.9783,18.8138,30,9.52911,0.224201,-2.38958,-0.017732400000000002,0.0236626,-0.04666,-20.46,-15.5434,23.4801
7629,10,100,30.125,-8.87994,3.02746,2.59098,0.30473,-0.162426,-0.00186124,43.5433,0.667341,-4.12492,31.4375,0.99687,9.9185,-0.513975,-0.0190855,-0.0505695,0.0418601,3.68319,-32.3513,19.0953,30,9.55604,0.112949,-2.73592,0.00429491,0.0457019,-0.0400934,-20.0962,-14.7899,23.1969
7640,10,100,30.125,-8.73414,3.21431,2.4001,0.149186,-0.0943877,-0.0426406,43.6637,1.03311,-4.25861,31.4375,0.660203,9.73286,-0.287145,0.00498444,0.0148064,0.0530342,4.18949,-32.2415,19.5212,30,9.82533,0.0331035,-2.46254,0.016387799999999998,0.0212777,-0.00641792,-20.074,-15.1734,24.4739
7651,10,100,30.125,-8.99492,3.36878,2.47265,-0.0248631,0.119756,-0.0204532,43.1573,1.80464,-4.39349,31.4375,1.08205,9.84503,-0.202425,-0.00250284,0.07335119999999999,0.00367534,4.07073,-31.9783,18.6728,30,9.67551,0.224216,-2.50385,0.0333694,0.0465945,-0.0132255,-20.0873,-14.9174,23.7644
7662,10,100,30.1875,-9.0713,3.06619,2.51101,-0.147044,0.115537,0.0555254,43.6555,1.15819,-3.47196,31.4375,0.8884920000000001,9.58153,-0.282517,0.0289368,0.135696,-0.0642375,3.69337,-32.8674,18.9573,30,9.71773,0.298631,-2.34952,0.0343838,0.0246793,-0.00791414,-20.356,-14.6486,23.054
7673,10,100,30.1875,-9.17664,2.8797200000000003,2.77947,-0.107785,0.0880657,0.0651785,43.2768,1.42677,-3.21036,31.4375,0.892023,9.61996,-0.166415,0.0973745,0.103954,-0.0680302,3.68319,-32.3513,19.0953,30,9.6426,0.0330041,-2.31005,0.054317,0.0346034,-0.0014667,-20.2025,-15.4262,23.9064
7684,10,100,30.1875,-9.25222,2.8803,2.77834,-0.07765169999999999,-0.0405787,-0.00877103,43.53,1.16497,-3.34051,31.4375,0.951394,9.7288,-0.746508,0.156776,0.0638024,-0.0983378,4.44196,-31.6057,19.2373,30,9.64579,0.222205,-2.23401,0.0540571,0.0503788,0.0270391,-20.5986,-15.0215,23.4791
7695,10,100,30.1875,-9.13778,2.84182,2.81867,0.054919100000000005,-0.1611,-0.0961612,43.7981,0.529288,-4.64952,31.4375,1.0318,9.57899,-0.58968,0.231013,0.07207530000000001,-0.164145,4.30026,-31.214,19.6571,30,9.61138,-0.0446234,-2.07835,-0.018268,0.106548,0.0226491,-20.2248,-15.0426,22.6294
7706,10,100,30.1875,-9.21442,2.50129,2.85716,0.192958,-0.322162,-0.14133800000000002,43.5419,1.65921,-5.57448,31.4375,0.228062,9.61836,-0.720532,0.196395,-0.061492999999999985,-0.204842,4.93306,-31.109,20.2249,30,9.57056,-0.271555,-2.1545400000000003,-0.0260329,0.08184910000000001,-0.0295937,-20.6064,-15.0232,22.7699
7717,10,100,30.125,-8.06788,1.66257,3.4159900000000003,0.313673,-0.509347,-0.212652,43.1776,1.6779400000000002,-6.623710000000001,31.4375,-0.934824,8.75202,-1.3196,0.406734,-0.311406,-0.261791,6.19864,-30.8989,21.3606,30,10.6387,-0.208039,-1.44937,-0.208716,-0.122855,-0.806341,-19.9654,-15.3135,22.4888
7728,10,100,30.125,-8.71067,2.43465,4.32745,0.15245699999999998,-0.42159,-0.682366,43.7888,4.125369999999998,-9.39567,31.4375,-0.940536,10.4817,-1.6738099999999998,0.4588680000000001,-0.230814,-0.0944439,7.7084800000000016,-29.666,22.3511,30,10.2675,1.22774,-0.3044,-0.147228,-0.07436110000000001,-0.708045,-17.8936,-16.963,22.0725
7739,10,100,30.125,-7.6032600000000015,1.78525,4.80808,-1.49757,-0.267696,-0.717331,43.49800000000001,7.243310000000001,-9.41398,31.4375,-0.553575,9.65399,-1.39306,0.365258,-0.316684,0.234278,7.418080000000002,-28.8829,23.6137,30,9.27863,-0.331245,0.737052,0.820485,0.6567850000000001,0.8083020000000001,-19.2858,-16.7606,23.4857
7750,10,100,30.125,-7.508939999999999,0.842558,5.5439300000000005,-0.181141,-0.275635,-0.395401,43.838,9.58308,-9.29763,31.4375,-0.689702,9.19784,-2.09103,0.362263,-0.0723801,0.407938,6.2337,-27.808000000000003,24.1634,30,10.6358,0.922904,-0.45309,1.40771,0.976843,0.860901,-24.8197,-14.1652,24.1724
7761,10,100,30.125,-7.03532,0.7964640000000001,5.05084,-0.506871,-0.0758094,-0.160908,43.9455,10.8183,-9.30534,31.4375,0.0278121,9.26933,-2.31058,0.326965,0.108683,0.583383,4.38549,-27.0972,26.2615,30,9.65051,1.55175,-2.3194,1.52268,0.660241,-0.0287587,-27.5426,-11.4507,25.4361
7772,10,100,30.1875,-7.47158,-0.0386782,4.62377,-0.568755,0.0937436,-0.06934069999999999,44.8023,10.8976,-7.864,31.4375,0.512263,9.41581,-2.68949,0.389238,0.432098,0.6072930000000001,1.14311,-25.688,26.372,30,8.07822,1.91475,-3.727,1.11899,-0.211653,-0.579174,-27.7848,-11.1761,27.1369
7782,10,100,30.1875,-7.414989999999999,-0.081897,4.08594,-0.990548,0.457092,0.302036,45.7816,9.73099,-4.18441,31.4375,1.06771,8.017999999999999,-3.10082,0.8987930000000001,0.365365,0.562086,-2.1553400000000003,-23.5058,29.1567,30,15.649,-3.30665,6.879410000000001,-1.54954,-0.185863,0.213599,-27.8701,-13.6205,26.2885
7793,10,100,30.1875,-11.5815,-1.2177,0.717443,-2.20462,0.948976,0.7758430000000001,46.413,5.11,2.14147,31.4375,4.55886,6.79062,-4.7373,1.15093,0.287144,0.356092,-5.89352,-18.7289,32.7697,30,10.0063,-2.22052,-0.941703,-0.44893,-0.808279,0.0373563,-26.4229,-14.1993,29.1309
